Menu Type,Menu Depth,Menu Breadth,Target Item
Marking,1,4,Continents
Marking,1,4,Animals
Marking,1,4,Continents
Marking,1,2,Food
Marking,1,2,Animals
Marking,1,2,Food
Marking,2,3,Meat
Marking,2,3,Bottoms
Marking,2,3,Fish
Marking,2,4,America
Marking,2,4,Hats
Marking,2,4,Tops
Marking,2,2,Reptiles
Marking,2,2,Fruit
Marking,2,2,Vegetables
Marking,1,3,Animals
Marking,1,3,Clothing
Marking,1,3,Food
Marking,3,4,Singapore
Marking,3,4,Yoghurt
Marking,3,4,Cheese
Marking,3,2,Orange
Marking,3,2,Fox
Marking,3,2,Onion
Marking,3,3,Heels
Marking,3,3,Aligator
Marking,3,3,Jacket
Radial,1,4,Continents
Radial,1,4,Animals
Radial,1,4,Continents
Radial,1,2,Food
Radial,1,2,Animals
Radial,1,2,Food
Radial,1,3,Animals
Radial,1,3,Clothing
Radial,1,3,Food
Radial,2,4,America
Radial,2,4,Hats
Radial,2,4,Tops
Radial,2,2,Reptiles
Radial,2,2,Fruit
Radial,2,2,Vegetables
Radial,2,3,Meat
Radial,2,3,Bottoms
Radial,2,3,Fish
Radial,3,4,Singapore
Radial,3,4,Yoghurt
Radial,3,4,Cheese
Radial,3,2,Orange
Radial,3,2,Fox
Radial,3,2,Onion
Radial,3,3,Heels
Radial,3,3,Aligator
Radial,3,3,Jacket
